Station,Scenario,Model,Variable,CV,Bias,NRMSE,RMSE,CV Delta From Observed,Max. Value,Max. Value Delta From Observed,A-D p-value,K-S p-value,K-S statistic sign
Fairbanks,rcp85,GISS-E2-R,tas_mean_C,-0.12,-0.3,0.1,4.3,0.01,20.4,-1.1,0.25,0.56,-1
Fairbanks,rcp45,IPSL-CM5A-LR,pr_total_mm,1.35,1.7,0.2,24.5,0.36,92.0,54.8,0.03,0.06,-1
Fairbanks,rcp45,IPSL-CM5A-LR,tas_mean_C,-0.12,-0.2,0.1,4.2,0.01,19.9,-0.6,0.25,0.93,1
Fairbanks,rcp60,IPSL-CM5A-LR,pr_total_mm,1.34,2.6,0.2,25.5,0.35,87.0,59.8,0.04,0.15,-1
Fairbanks,rcp60,IPSL-CM5A-LR,tas_mean_C,-0.1,-0.5,0.1,4.4,0.03,20.1,-0.8,0.25,0.8,-1
Fairbanks,rcp85,IPSL-CM5A-LR,pr_total_mm,1.45,1.4,0.2,24.9,0.46,72.0,74.8,0.03,0.07,-1
Fairbanks,rcp85,IPSL-CM5A-LR,tas_mean_C,-0.07,-1.0,0.1,4.3,0.06,20.5,-1.2,0.25,0.72,-1
Fairbanks,rcp45,MRI-CGCM3,pr_total_mm,1.32,2.5,0.2,25.4,0.33,95.0,51.8,0.04,0.23,-1
Fairbanks,rcp45,MRI-CGCM3,tas_mean_C,-0.18,0.6,0.1,4.5,0.05,19.1,0.2,0.25,0.56,1
Fairbanks,rcp60,MRI-CGCM3,pr_total_mm,1.31,2.9,0.2,26.4,0.32,115.0,31.8,0.02,0.07,-1
Fairbanks,rcp60,MRI-CGCM3,tas_mean_C,-0.15,0.1,0.1,4.3,0.02,18.4,0.9,0.25,0.48,1
Fairbanks,rcp85,MRI-CGCM3,pr_total_mm,1.4,3.1,0.2,25.7,0.41,113.0,33.8,0.02,0.07,-1
Fairbanks,rcp85,MRI-CGCM3,tas_mean_C,-0.13,-0.2,0.1,4.3,0.0,17.7,1.6,0.25,0.48,-1
Fairbanks,rcp45,CCSM4,pr_total_mm,1.33,0.6,0.2,24.6,0.34,126.0,20.8,0.03,0.07,-1
Fairbanks,rcp45,CCSM4,tas_mean_C,-0.09,-0.7,0.1,5.1,0.04,22.6,-3.3,0.25,0.41,-1
Fairbanks,rcp60,CCSM4,pr_total_mm,1.39,2.4,0.2,24.3,0.4,89.0,57.8,0.01,0.04,-1
Fairbanks,rcp60,CCSM4,tas_mean_C,-0.11,-0.4,0.1,4.6,0.02,23.2,-3.9,0.25,0.87,1
Fairbanks,rcp85,CCSM4,pr_total_mm,1.44,1.7,0.2,25.4,0.45,88.0,58.8,0.01,0.02,-1
Fairbanks,rcp85,CCSM4,tas_mean_C,-0.13,-0.1,0.1,4.7,0.0,21.0,-1.7,0.25,0.64,1
Delta Junction,rcp45,5ModelAvg,pr_total_mm,1.16,-7.8,0.1,21.7,0.34,95.0,76.4,0.0,0.0,-1
Delta Junction,rcp45,5ModelAvg,tas_mean_C,-0.12,0.3,0.1,3.6,0.03,17.2,1.0,0.25,0.97,1
Delta Junction,rcp60,5ModelAvg,pr_total_mm,1.18,-7.4,0.1,21.9,0.36,90.0,81.4,0.0,0.0,-1
Delta Junction,rcp60,5ModelAvg,tas_mean_C,-0.11,0.1,0.1,3.6,0.02,17.8,0.4,0.25,0.93,1
Delta Junction,rcp85,5ModelAvg,pr_total_mm,1.19,-7.3,0.1,21.1,0.37,97.0,74.4,0.0,0.0,-1
Delta Junction,rcp85,5ModelAvg,tas_mean_C,-0.1,-0.0,0.1,3.4,0.01,17.1,1.1,0.25,0.8,-1
Delta Junction,rcp45,GFDL-CM3,pr_total_mm,1.03,-10.0,0.1,24.7,0.21,154.0,17.4,0.0,0.0,-1
Delta Junction,rcp45,GFDL-CM3,tas_mean_C,-0.05,-0.6,0.1,4.5,0.04,18.2,-0.0,0.25,0.93,-1
Delta Junction,rcp60,GFDL-CM3,pr_total_mm,1.09,-9.5,0.1,24.2,0.27,114.0,57.4,0.0,0.0,-1
Delta Junction,rcp60,GFDL-CM3,tas_mean_C,-0.05,-0.6,0.1,4.7,0.04,18.3,-0.1,0.25,0.93,-1
Delta Junction,rcp85,GFDL-CM3,pr_total_mm,1.1,-10.0,0.1,25.0,0.28,128.0,43.4,0.0,0.0,-1
Delta Junction,rcp85,GFDL-CM3,tas_mean_C,0.0,-1.2,0.1,4.3,0.09,19.1,-0.9,0.1,0.06,-1
Delta Junction,rcp45,GISS-E2-R,pr_total_mm,1.05,-7.1,0.1,25.2,0.23,120.0,51.4,0.0,0.0,-1
Delta Junction,rcp45,GISS-E2-R,tas_mean_C,-0.15,0.6,0.1,4.4,0.06,18.3,-0.1,0.25,0.64,1
Delta Junction,rcp60,GISS-E2-R,pr_total_mm,1.01,-6.9,0.2,27.0,0.19,136.0,35.4,0.0,0.0,-1
Delta Junction,rcp60,GISS-E2-R,tas_mean_C,-0.12,0.3,0.1,4.4,0.03,17.6,0.6,0.25,0.87,1
Delta Junction,rcp85,GISS-E2-R,pr_total_mm,1.08,-4.7,0.1,23.8,0.26,125.0,46.4,0.0,0.0,-1
Delta Junction,rcp85,GISS-E2-R,tas_mean_C,-0.13,0.4,0.1,4.3,0.04,18.9,-0.7,0.25,0.8,1
Delta Junction,rcp45,IPSL-CM5A-LR,pr_total_mm,1.1,-7.4,0.1,23.0,0.28,120.0,51.4,0.0,0.0,-1
Delta Junction,rcp45,IPSL-CM5A-LR,tas_mean_C,-0.13,0.4,0.1,4.4,0.04,18.4,-0.2,0.25,0.87,1
Delta Junction,rcp60,IPSL-CM5A-LR,pr_total_mm,1.09,-7.8,0.1,24.3,0.27,117.0,54.4,0.0,0.0,-1
Delta Junction,rcp60,IPSL-CM5A-LR,tas_mean_C,-0.09,-0.0,0.1,4.5,0.0,18.5,-0.3,0.25,0.99,1
Delta Junction,rcp85,IPSL-CM5A-LR,pr_total_mm,1.09,-8.1,0.1,24.0,0.27,131.0,40.4,0.0,0.0,-1
Delta Junction,rcp85,IPSL-CM5A-LR,tas_mean_C,-0.07,-0.4,0.1,4.3,0.02,19.2,-1.0,0.25,1.0,-1
Delta Junction,rcp45,MRI-CGCM3,pr_total_mm,1.05,-6.5,0.1,23.6,0.23,124.0,47.4,0.0,0.0,-1
Delta Junction,rcp45,MRI-CGCM3,tas_mean_C,-0.17,1.0,0.1,4.6,0.08,18.0,0.2,0.25,0.56,1
Delta Junction,rcp60,MRI-CGCM3,pr_total_mm,1.06,-6.5,0.1,23.0,0.24,128.0,43.4,0.0,0.0,-1
Delta Junction,rcp60,MRI-CGCM3,tas_mean_C,-0.14,0.6,0.1,4.3,0.05,17.2,1.0,0.23,0.34,1
Delta Junction,rcp85,MRI-CGCM3,pr_total_mm,1.06,-6.1,0.1,23.0,0.24,133.0,38.4,0.0,0.0,-1
Delta Junction,rcp85,MRI-CGCM3,tas_mean_C,-0.13,0.3,0.1,4.2,0.04,15.8,2.4,0.25,0.64,1
Delta Junction,rcp45,CCSM4,pr_total_mm,1.07,-8.2,0.2,26.2,0.25,149.0,22.4,0.0,0.0,-1
Delta Junction,rcp45,CCSM4,tas_mean_C,-0.09,-0.0,0.1,5.0,0.0,21.0,-2.8,0.25,0.64,-1
Delta Junction,rcp60,CCSM4,pr_total_mm,1.12,-6.0,0.1,25.0,0.3,114.0,57.4,0.0,0.0,-1
Delta Junction,rcp60,CCSM4,tas_mean_C,-0.11,0.3,0.1,4.7,0.02,21.9,-3.7,0.25,0.48,1
Delta Junction,rcp85,CCSM4,pr_total_mm,1.13,-7.6,0.1,22.6,0.31,115.0,56.4,0.0,0.0,-1
Delta Junction,rcp85,CCSM4,tas_mean_C,-0.14,0.6,0.1,4.7,0.05,19.1,-0.9,0.25,0.41,1
Anchorage,rcp45,5ModelAvg,pr_total_mm,1.65,6.4,0.1,27.1,0.54,79.0,116.6,0.0,0.06,-1
Anchorage,rcp45,5ModelAvg,tas_mean_C,0.41,-0.3,0.1,2.7,0.04,17.6,0.9,0.25,0.41,-1
Anchorage,rcp60,5ModelAvg,pr_total_mm,1.69,5.8,0.1,26.8,0.58,93.0,102.6,0.0,0.0,-1
Anchorage,rcp60,5ModelAvg,tas_mean_C,0.43,-0.5,0.1,2.7,0.06,18.2,0.3,0.25,0.48,-1
Anchorage,rcp85,5ModelAvg,pr_total_mm,1.66,5.8,0.1,27.2,0.55,85.0,110.6,0.0,0.02,-1
Anchorage,rcp85,5ModelAvg,tas_mean_C,0.45,-0.6,0.1,2.6,0.08,17.2,1.3,0.19,0.48,-1
Anchorage,rcp45,GFDL-CM3,pr_total_mm,1.5,7.2,0.1,29.1,0.39,106.0,89.6,0.03,0.28,1
Anchorage,rcp45,GFDL-CM3,tas_mean_C,0.47,-1.0,0.1,3.9,0.1,17.8,0.7,0.09,0.09,-1
Anchorage,rcp60,GFDL-CM3,pr_total_mm,1.54,6.5,0.1,27.8,0.43,102.0,93.6,0.03,0.34,-1
Anchorage,rcp60,GFDL-CM3,tas_mean_C,0.47,-0.9,0.1,3.9,0.1,17.5,1.0,0.25,0.41,-1
Anchorage,rcp85,GFDL-CM3,pr_total_mm,1.66,6.2,0.2,30.0,0.55,88.0,107.6,0.01,0.09,-1
Anchorage,rcp85,GFDL-CM3,tas_mean_C,0.57,-1.5,0.1,3.5,0.2,19.1,-0.6,0.02,0.04,-1
Anchorage,rcp45,GISS-E2-R,pr_total_mm,1.38,6.2,0.1,28.2,0.27,133.0,62.6,0.07,0.41,1
Anchorage,rcp45,GISS-E2-R,tas_mean_C,0.38,-0.0,0.1,3.5,0.01,18.5,-0.0,0.25,0.48,-1
Anchorage,rcp60,GISS-E2-R,pr_total_mm,1.4,6.3,0.1,28.6,0.29,100.0,95.6,0.03,0.19,1
Anchorage,rcp60,GISS-E2-R,tas_mean_C,0.41,-0.3,0.1,3.5,0.04,17.3,1.2,0.25,0.72,-1
Anchorage,rcp85,GISS-E2-R,pr_total_mm,1.37,7.7,0.2,29.7,0.26,114.0,81.6,0.02,0.07,1
Anchorage,rcp85,GISS-E2-R,tas_mean_C,0.39,-0.1,0.1,3.5,0.02,18.5,-0.0,0.25,0.93,-1
Anchorage,rcp45,IPSL-CM5A-LR,pr_total_mm,1.44,7.3,0.2,32.3,0.33,108.0,87.6,0.03,0.15,1
Anchorage,rcp45,IPSL-CM5A-LR,tas_mean_C,0.36,-0.2,0.1,3.6,0.01,18.9,-0.4,0.22,0.72,1
Anchorage,rcp60,IPSL-CM5A-LR,pr_total_mm,1.28,6.1,0.2,31.0,0.17,149.0,46.6,0.05,0.12,1
Anchorage,rcp60,IPSL-CM5A-LR,tas_mean_C,0.42,-0.7,0.1,3.7,0.05,19.6,-1.1,0.14,0.34,-1
Anchorage,rcp85,IPSL-CM5A-LR,pr_total_mm,1.3,4.6,0.2,30.5,0.19,142.0,53.6,0.11,0.34,1
Anchorage,rcp85,IPSL-CM5A-LR,tas_mean_C,0.45,-1.0,0.1,3.6,0.08,20.4,-1.9,0.11,0.23,-1
Anchorage,rcp45,MRI-CGCM3,pr_total_mm,1.24,6.1,0.2,30.6,0.13,136.0,59.6,0.1,0.19,1
Anchorage,rcp45,MRI-CGCM3,tas_mean_C,0.33,0.2,0.1,3.7,0.04,18.9,-0.4,0.25,0.8,1
Anchorage,rcp60,MRI-CGCM3,pr_total_mm,1.51,4.0,0.2,29.7,0.4,112.0,83.6,0.04,0.15,-1
Anchorage,rcp60,MRI-CGCM3,tas_mean_C,0.41,-0.3,0.1,3.2,0.04,17.1,1.4,0.25,0.87,-1
Anchorage,rcp85,MRI-CGCM3,pr_total_mm,1.43,4.3,0.2,29.7,0.32,118.0,77.6,0.08,0.34,-1
Anchorage,rcp85,MRI-CGCM3,tas_mean_C,0.43,-0.5,0.1,3.3,0.06,17.7,0.8,0.25,0.64,-1
Anchorage,rcp45,CCSM4,pr_total_mm,1.42,5.4,0.1,28.2,0.31,107.0,88.6,0.13,0.56,1
Anchorage,rcp45,CCSM4,tas_mean_C,0.43,-0.6,0.1,4.1,0.06,21.8,-3.3,0.25,0.34,-1
Anchorage,rcp60,CCSM4,pr_total_mm,1.3,6.2,0.2,31.0,0.19,120.0,75.6,0.08,0.15,1
Anchorage,rcp60,CCSM4,tas_mean_C,0.36,-0.4,0.1,4.0,0.01,21.2,-2.7,0.07,0.34,1
Anchorage,rcp85,CCSM4,pr_total_mm,1.37,6.0,0.1,28.7,0.26,110.0,85.6,0.07,0.09,1
Anchorage,rcp85,CCSM4,tas_mean_C,0.35,0.1,0.1,3.8,0.02,18.7,-0.2,0.25,0.93,1
Nome,rcp45,5ModelAvg,pr_total_mm,1.6,0.7,0.2,26.3,0.4,122.0,42.6,0.0,0.0,-1
Nome,rcp45,5ModelAvg,tas_mean_C,-0.16,-0.6,0.1,3.3,0.05,13.2,-0.0,0.07,0.09,-1
Nome,rcp60,5ModelAvg,pr_total_mm,1.69,1.0,0.2,25.7,0.49,114.0,50.6,0.0,0.0,-1
Nome,rcp60,5ModelAvg,tas_mean_C,-0.14,-0.8,0.1,3.3,0.07,13.4,-0.2,0.04,0.12,-1
Nome,rcp85,5ModelAvg,pr_total_mm,1.61,-1.4,0.2,26.2,0.41,121.0,43.6,0.0,0.0,-1
Nome,rcp85,5ModelAvg,tas_mean_C,-0.12,-1.0,0.1,3.4,0.09,13.7,-0.5,0.02,0.04,-1
Nome,rcp45,GFDL-CM3,pr_total_mm,1.47,-0.2,0.2,30.0,0.27,127.0,37.6,0.03,0.07,-1
Nome,rcp45,GFDL-CM3,tas_mean_C,-0.03,-1.8,0.1,4.4,0.18,14.4,-1.2,0.01,0.02,-1
Nome,rcp60,GFDL-CM3,pr_total_mm,1.53,-1.8,0.2,30.3,0.33,140.0,24.6,0.0,0.0,-1
Nome,rcp60,GFDL-CM3,tas_mean_C,0.05,-2.5,0.1,4.9,0.26,15.2,-2.0,0.0,0.0,-1
Nome,rcp85,GFDL-CM3,pr_total_mm,1.39,-1.4,0.2,30.6,0.19,148.0,16.6,0.02,0.04,-1
Nome,rcp85,GFDL-CM3,tas_mean_C,0.01,-2.2,0.1,4.4,0.22,15.8,-2.6,0.0,0.0,-1
Nome,rcp45,GISS-E2-R,pr_total_mm,1.27,0.7,0.2,30.3,0.07,147.0,17.6,0.11,0.28,-1
Nome,rcp45,GISS-E2-R,tas_mean_C,-0.18,-0.4,0.1,4.0,0.03,13.8,-0.6,0.25,0.72,-1
Nome,rcp60,GISS-E2-R,pr_total_mm,1.2,-0.5,0.2,30.1,0.0,190.0,-25.4,0.04,0.15,-1
Nome,rcp60,GISS-E2-R,tas_mean_C,-0.16,-0.6,0.1,4.0,0.05,13.9,-0.7,0.25,0.56,-1
Nome,rcp85,GISS-E2-R,pr_total_mm,1.21,-3.2,0.2,35.2,0.01,182.0,-17.4,0.09,0.09,-1
Nome,rcp85,GISS-E2-R,tas_mean_C,-0.17,-0.5,0.1,4.1,0.04,13.7,-0.5,0.24,0.34,-1
Nome,rcp45,IPSL-CM5A-LR,pr_total_mm,1.31,0.8,0.2,31.8,0.11,166.0,-1.4,0.06,0.15,-1
Nome,rcp45,IPSL-CM5A-LR,tas_mean_C,-0.18,-0.3,0.1,3.9,0.03,14.4,-1.2,0.25,0.56,-1
Nome,rcp60,IPSL-CM5A-LR,pr_total_mm,1.17,2.0,0.2,34.5,0.03,195.0,-30.4,0.05,0.03,1
Nome,rcp60,IPSL-CM5A-LR,tas_mean_C,-0.17,-0.4,0.1,4.0,0.04,15.7,-2.5,0.25,0.64,-1
Nome,rcp85,IPSL-CM5A-LR,pr_total_mm,1.31,-0.9,0.2,29.3,0.11,163.0,1.6,0.25,0.8,-1
Nome,rcp85,IPSL-CM5A-LR,tas_mean_C,-0.09,-1.2,0.1,4.1,0.12,14.9,-1.7,0.04,0.07,-1
Nome,rcp45,MRI-CGCM3,pr_total_mm,1.22,2.8,0.2,31.6,0.02,186.0,-21.4,0.25,0.41,1
Nome,rcp45,MRI-CGCM3,tas_mean_C,-0.23,0.3,0.1,4.4,0.02,14.7,-1.5,0.25,0.99,1
Nome,rcp60,MRI-CGCM3,pr_total_mm,1.24,4.9,0.2,30.5,0.04,139.0,25.6,0.03,0.02,1
Nome,rcp60,MRI-CGCM3,tas_mean_C,-0.21,0.1,0.1,4.2,0.0,14.4,-1.2,0.25,0.93,-1
Nome,rcp85,MRI-CGCM3,pr_total_mm,1.29,1.3,0.2,31.6,0.09,219.0,-54.4,0.14,0.23,-1
Nome,rcp85,MRI-CGCM3,tas_mean_C,-0.17,-0.5,0.1,4.1,0.04,13.6,-0.4,0.25,0.34,-1
Nome,rcp45,CCSM4,pr_total_mm,1.36,-0.4,0.2,29.6,0.16,166.0,-1.4,0.07,0.12,-1
Nome,rcp45,CCSM4,tas_mean_C,-0.13,-0.8,0.1,4.6,0.08,15.7,-2.5,0.19,0.48,-1
Nome,rcp60,CCSM4,pr_total_mm,1.46,0.7,0.2,31.4,0.26,130.0,34.6,0.05,0.06,-1
Nome,rcp60,CCSM4,tas_mean_C,-0.16,-0.5,0.1,4.3,0.05,15.9,-2.7,0.21,0.48,-1
Nome,rcp85,CCSM4,pr_total_mm,1.37,-2.7,0.2,30.5,0.17,154.0,10.6,0.05,0.09,-1
Nome,rcp85,CCSM4,tas_mean_C,-0.15,-0.6,0.1,4.4,0.06,14.1,-0.9,0.25,0.64,-1
Utqiaġvik,rcp45,5ModelAvg,pr_total_mm,1.33,-4.6,0.2,13.4,0.2,68.0,-10.1,0.0,0.0,-1
Utqiaġvik,rcp45,5ModelAvg,tas_mean_C,-0.89,1.0,0.1,3.0,0.07,6.8,2.3,0.16,0.09,1
Utqiaġvik,rcp60,5ModelAvg,pr_total_mm,1.39,-4.7,0.2,12.7,0.26,62.0,-4.1,0.0,0.0,-1
Utqiaġvik,rcp60,5ModelAvg,tas_mean_C,-0.86,0.5,0.1,2.9,0.04,7.0,2.1,0.25,0.56,1
Utqiaġvik,rcp85,5ModelAvg,pr_total_mm,1.41,-4.9,0.2,13.2,0.28,63.0,-5.1,0.0,0.0,-1
Utqiaġvik,rcp85,5ModelAvg,tas_mean_C,-0.88,0.6,0.1,2.9,0.06,6.7,2.4,0.25,0.34,1
Utqiaġvik,rcp45,GFDL-CM3,pr_total_mm,1.11,-4.6,0.3,16.4,0.02,90.0,-32.1,0.0,0.0,-1
Utqiaġvik,rcp45,GFDL-CM3,tas_mean_C,-0.76,-0.7,0.1,3.9,0.06,8.9,0.2,0.25,0.8,-1
Utqiaġvik,rcp60,GFDL-CM3,pr_total_mm,1.31,-5.1,0.2,14.0,0.18,64.0,-6.1,0.0,0.0,-1
Utqiaġvik,rcp60,GFDL-CM3,tas_mean_C,-0.68,-2.0,0.1,4.5,0.14,10.4,-1.3,0.03,0.09,-1
Utqiaġvik,rcp85,GFDL-CM3,pr_total_mm,1.28,-5.1,0.3,14.8,0.15,73.0,-15.1,0.0,0.0,-1
Utqiaġvik,rcp85,GFDL-CM3,tas_mean_C,-0.73,-1.2,0.1,3.8,0.09,8.8,0.3,0.25,0.56,-1
Utqiaġvik,rcp45,GISS-E2-R,pr_total_mm,1.25,-4.1,0.3,15.4,0.12,79.0,-21.1,0.0,0.0,-1
Utqiaġvik,rcp45,GISS-E2-R,tas_mean_C,-0.92,1.3,0.1,4.1,0.1,8.4,0.7,0.25,0.06,1
Utqiaġvik,rcp60,GISS-E2-R,pr_total_mm,1.14,-4.4,0.3,15.0,0.01,99.0,-41.1,0.0,0.0,-1
Utqiaġvik,rcp60,GISS-E2-R,tas_mean_C,-0.91,1.1,0.1,3.9,0.09,9.1,-0.0,0.25,0.06,1
Utqiaġvik,rcp85,GISS-E2-R,pr_total_mm,1.15,-4.9,0.3,16.7,0.02,90.0,-32.1,0.0,0.0,-1
Utqiaġvik,rcp85,GISS-E2-R,tas_mean_C,-0.92,1.4,0.1,3.9,0.1,8.6,0.5,0.23,0.09,1
Utqiaġvik,rcp45,IPSL-CM5A-LR,pr_total_mm,1.09,-6.0,0.3,17.5,0.04,123.0,-65.1,0.0,0.0,-1
Utqiaġvik,rcp45,IPSL-CM5A-LR,tas_mean_C,-0.84,1.1,0.1,4.3,0.02,9.4,-0.3,0.18,0.41,1
Utqiaġvik,rcp60,IPSL-CM5A-LR,pr_total_mm,1.13,-5.4,0.3,16.4,0.0,99.0,-41.1,0.0,0.0,-1
Utqiaġvik,rcp60,IPSL-CM5A-LR,tas_mean_C,-0.79,0.3,0.1,3.9,0.03,10.4,-1.3,0.25,0.72,-1
Utqiaġvik,rcp85,IPSL-CM5A-LR,pr_total_mm,1.23,-5.1,0.3,15.0,0.1,72.0,-14.1,0.0,0.0,-1
Utqiaġvik,rcp85,IPSL-CM5A-LR,tas_mean_C,-0.79,0.2,0.1,3.8,0.03,9.9,-0.8,0.25,0.8,-1
Utqiaġvik,rcp45,MRI-CGCM3,pr_total_mm,0.91,-4.0,0.3,17.9,0.22,117.0,-59.1,0.1,0.23,-1
Utqiaġvik,rcp45,MRI-CGCM3,tas_mean_C,-0.97,2.6,0.1,4.6,0.15,7.9,1.2,0.01,0.03,1
Utqiaġvik,rcp60,MRI-CGCM3,pr_total_mm,0.93,-4.2,0.3,18.3,0.2,120.0,-62.1,0.06,0.23,-1
Utqiaġvik,rcp60,MRI-CGCM3,tas_mean_C,-0.97,2.3,0.1,4.5,0.15,7.7,1.4,0.02,0.07,1
Utqiaġvik,rcp85,MRI-CGCM3,pr_total_mm,0.97,-4.5,0.3,18.7,0.16,133.0,-75.1,0.01,0.01,-1
Utqiaġvik,rcp85,MRI-CGCM3,tas_mean_C,-0.95,1.8,0.1,4.1,0.13,8.8,0.3,0.11,0.23,1
Utqiaġvik,rcp45,CCSM4,pr_total_mm,1.25,-4.3,0.2,14.0,0.12,73.0,-15.1,0.0,0.01,-1
Utqiaġvik,rcp45,CCSM4,tas_mean_C,-0.84,0.8,0.1,4.1,0.02,9.7,-0.6,0.25,0.72,1
Utqiaġvik,rcp60,CCSM4,pr_total_mm,1.29,-4.4,0.2,14.2,0.16,99.0,-41.1,0.0,0.0,-1
Utqiaġvik,rcp60,CCSM4,tas_mean_C,-0.81,0.7,0.1,4.1,0.01,9.2,-0.1,0.25,0.64,1
Utqiaġvik,rcp85,CCSM4,pr_total_mm,1.28,-4.9,0.2,13.9,0.15,73.0,-15.1,0.0,0.0,-1
Utqiaġvik,rcp85,CCSM4,tas_mean_C,-0.88,0.9,0.1,4.4,0.06,8.0,1.1,0.25,0.41,1
